cuestionario,factor,campo,genero,filtro_a,p1edad,edadr,filtro_b,filtro_c,voluntad,p2,p2_1,p2_1_1,p2_2,p2_2_1,p3,p4,p5,p6,p7,p7_1,p7_2,p7_2_1,p7_2_2,p7_2_3,p7_2_4,p7_2_5,p7_2_6,p7_3,p7_3_1,p7_3_2,p7_3_3,p7_3_4,p8,p9estrato,p10,p11,p11_1,p12,p12_1,p13,p14,p15,p15_1,p16,p16_1,p17,p17_v2_1,p17_v2_2,p17_v2_3,p17_v3,p17_v3_otro,p17_v4,p17_v5,p17_v6,p17_v7,p17_v7_1,p18,p18_p1,p18_p2,p18_p3,p18_p4,p18_c1,p19_1,p19comuna,p20,p20_1,p20_1_otro,p21,p22,p23,p23_1,p23_1_1,p23_2,p23_2_1,p23_2_2,p23_2_3,p24,p25,p25_1,p26,p27,p27_1,p27_otro,p28p28_1,p28p28_2,p28p28_3,p28p28_4,p28p28_5,p28p28_6,p28p28_7,p28p28_8,p28p28_9,p29,p29_otro,p30,p30_otro,p31,p32,p33,p33_otro,p34,p34_otro,p35,p35_otro,p36,p37,p38p38_1,p38p38_2,p38p38_3,p38p38_4,p38p38_5,p38p38_6,p38p38_7,p38p38_99,p38_99_otro,p39,p39_1,p39_otro,p39_1_2,p39_1_1,p39_1_otro,p39_2,p40,p41,p47latitude,p47longitude,p47altitude,p47accuracy
23,2955.21902775,Presencial en hogares,Femenino,Si,41,35 - 44 años,No,Si,Si,Si,Antioquia,Cisneros,,,Ninguna de las anteriores,Si,Secundaria completa,Si,Trabajar,"Empleado en empresa, gobierno u organización",De lunes a viernes,,,,,,,,,,,,Sola(o),Estrato 1,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Metro,,,,,,,,,,,,15,10,30,15,,Medellín,Comuna 13 - San Javier,La Estrella,Comuna 13 - San Javier,,Uno,Menos de 5 km,Ir a trabajar,,,,,,,Poco Satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),,Las condiciones de incomodidad,Congestión de tráfico,,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Metroplús,,Nivel de inseguridad,,Empresas manufactureras,Bajo,"Bus, colectivo, busetas",,Bicicleta,,Inseguridad,,Muy influyente,Muy influyente,No,Si,No,Si,No,No,No,No,,En el metro,,,No tomó ninguna acción,,,Si,Mujer,No,6.2588088,-75.6137896,1555.699951,28.248
24,4884.65955,Presencial en hogares,Femenino,Si,74,65 - 80 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,Si,Básica primaria incompleta,No,Hacer trabajo doméstico en su propio hogar,,,,,,,,,,,,,,Con otros familiares diferentes a sus hijos o pareja,Estrato 3,Menos de 100 mil pesos,Si,Una mujer de la familia que vive con usted,Ninguna dificultad,,No,No,0,,0,,"Bus, colectivo, buseta",,,,,,,,,,,,5,15,30,0,,Medellín,Comuna 13 - San Javier,Medellín,Comuna 13 - San Javier,,Uno,Entre 11 y 15 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,,,,,Satisfecho,La comodidad (confort),,Nada me disgusta,Tiempos de espera largos o inciertos,,,3,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,4,Muy importante,Muy importante,Taxi,,Costos asociados,,Los vehículos que circulan en la ciudad,Muy alto,"Bus, colectivo, busetas",,Bicicleta,,Inseguridad,,Muy influyente,3,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.2565202,-75.6143686,1555.300049,12.23
25,4518.6336,Presencial en hogares,Masculino,Si,31,25 - 34 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Técnico profesional,No,Está desempleado,,,,,,,,,,,,,,Sola(o),Estrato 3,Menos de 100 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Metroplus,,,,,,,,,,,,5,1,15,12,,Medellín,Comuna 13 - San Javier,Medellín,Comuna 13 - San Javier,,Cuatro o más,Menos de 5 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,,,,,Muy satisfecho,Restricciones de circulación (Ejemplo: pico y placa),,Nada me disgusta,Congestión de tráfico,,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Automóvil,,Costos asociados,,Los vehículos que circulan en la ciudad,Nulo,Camión pesado,,Caminata,,Condiciones climáticas,,Nada influyente,4,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,Si,6.2562499,-75.6145496,1555.400024,20.768
26,2955.21902775,Presencial en hogares,Femenino,Si,53,45 - 54 años,No,Si,Si,Si,Antioquia,Santa Bárbara,,,Ninguna de las anteriores,Si,Básica primaria completa,Si,Hacer trabajo doméstico en su propio hogar,,,,,,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 1,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,2,0,Metro Cable,,,,,,,,,,,,3,0,15,2,,Medellín,Comuna 13 - San Javier,Medellín,No sabe. ¿A dónde se dirige?,Centro,No salgo del hogar con frecuencia,Entre 6 y 10 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,,,,,Muy satisfecho,La comodidad (confort),El costo (sus posibilidades económicas o capacidad adquisitiva),Las condiciones de incomodidad,Otro,,No sabe,Muy importante,3,Muy importante,Muy importante,3,Nada Importante,Nada Importante,Muy importante,Muy importante,Metro Cable,,Es el medio de transporte que utiliza,,Los vehículos que circulan en la ciudad,Nulo,Moto 2T particular,,Metro,,Inseguridad,,Muy influyente,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.2662301,-75.6129733,1658.8,7.859
27,21870.186624,Presencial en hogares,Masculino,Si,30,25 - 34 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria completa,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a domingo,,,,,,,,,,,,Con su pareja,Estrato 1,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,"Sí, motocicleta",No,0,,0,,Metro,,,,,,,,,,,,5,1,20,15,,Medellín,Comuna 13 - San Javier,Medellín,No sabe. ¿A dónde se dirige?,Barrio Antioquia,Dos,Entre 6 y 10 km,Ir a trabajar,,,,,,,Muy satisfecho,La comodidad (confort),El costo (sus posibilidades económicas o capacidad adquisitiva),Nada me disgusta,Tiempos de espera largos o inciertos,,,3,4,Muy importante,Muy importante,Nada Importante,Nada Importante,Nada Importante,Nada Importante,Muy importante,Metro,,Es el medio de transporte que utiliza,,Los vehículos que circulan en la ciudad,Moderado,Automóviles particulares,,Bicicleta,,Inclinación del terreno,,Muy influyente,Muy influyente,No,No,No,Si,No,No,No,No,,En el metro,,,No tomó ninguna acción,,,No,Hombre,No,6.26607,-75.6128807,1659.699951,11.477
28,2955.21902775,Presencial en hogares,Femenino,Si,34,25 - 34 años,No,Si,Si,No,,,Venezuela,,Ninguna de las anteriores,No,Secundaria completa,No,Trabajar,Trabajador independiente o por cuenta propia,Viernes,Sábado,Domingo,,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 1,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,"Sí, motocicleta",No,0,,0,,"Bus, colectivo, buseta",,,,,,,,,,,,5,5,10,0,,Medellín,Comuna 13 - San Javier,Medellín,Comuna 13 - San Javier,,No salgo del hogar con frecuencia,Entre 6 y 10 km,"A realizar actividades recreativas y culturales (ir a cine, a un concierto, una presentación etc)",,,,,,,Satisfecho,La comodidad (confort),,El tiempo de espera,Congestión de tráfico,Costos altos,,3,Muy importante,Muy importante,Muy importante,4,Nada Importante,3,Muy importante,3,"Bus, colectivo, busetas",,Es el medio de transporte que utiliza,,Uso de aerosoles y productos químicos,Alto,"Bus, colectivo, busetas",,Moto 2T,,Otro,No sabe,4,4,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.2660826,-75.612844,1661.699951,7.629
29,2955.21902775,Presencial en hogares,Femenino,Si,22,18 - 24 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Técnico profesional,No,Trabajar,"Empleado en empresa, gobierno u organización",De lunes a domingo,,,,,,,,,,,,Con otros familiares diferentes a sus hijos o pareja,Estrato 1,Entre 300 mil y 500 mil pesos,No,,Ninguna dificultad,,No,No,0,,1,0,Metro,,,,,,,,,,,,5,15,30,15,,Medellín,Comuna 13 - San Javier,Medellín,Comuna 13 - San Javier,,Tres,Entre 6 y 10 km,Ir a trabajar,,,,,,,Muy satisfecho,La distancia que debe recorrer,El costo (sus posibilidades económicas o capacidad adquisitiva),Nada me disgusta,Tiempos de espera largos o inciertos,Multitud de personas,,Muy importante,Muy importante,Muy importante,Muy importante,3,2,2,2,2,Moto 2T,,Nivel de siniestralidad vial,,Los vehículos que circulan en la ciudad,Alto,"Bus, colectivo, busetas",,Caminata,,Condiciones climáticas,,3,Muy influyente,No,No,No,Si,Si,No,Si,No,,Mientras caminaba,,,Avisó a alguna autoridad como la policia,,,Si,Mujer,No,6.2662409,-75.6131455,1653.599976,11.886
30,2955.21902775,Presencial en hogares,Femenino,Si,50,45 - 54 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria completa,No,Hacer trabajo doméstico en su propio hogar,,,,,,,,,,,,,,Sola(o) con sus hijas o hijos,Estrato 1,Entre 100 y 300 mil pesos,No,,Otro tipo de dificultad,,No,No,0,,0,,Metro,,,,,,,,,,,,1,5,40,10,,Medellín,Comuna 13 - San Javier,Medellín,Comuna 13 - San Javier,,No salgo del hogar con frecuencia,Menos de 5 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,,,,,Satisfecho,Por razones medioambientales (consciencia ambiental),,Las condiciones de incomodidad,Multitud de personas,,,3,2,2,4,4,3,3,4,4,"Bus, colectivo, busetas",,Tiempos de viaje o espera asociados,,Los vehículos que circulan en la ciudad,Muy alto,"Bus, colectivo, busetas",,Metro,,"Falta de infraestructura (andenes, ciclorutas, etc.)",,4,4,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.2661108,-75.6131667,1653.300049,10.299
31,2955.21902775,Presencial en hogares,Femenino,Si,63,55 - 64 años,No,Si,Si,Si,Caldas,Samaná,,,Ninguna de las anteriores,No,Ninguno,No,Hacer trabajo doméstico en su propio hogar,,,,,,,,,,,,,,Con su pareja,Estrato 1,Menos de 100 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Metro,,,,,,,,,,,,2,2,27,3,,Medellín,Comuna 13 - San Javier,Medellín,Comuna 13 - San Javier,,No salgo del hogar con frecuencia,Menos de 5 km,A realizar compras,,,,,,,Muy satisfecho,La comodidad (confort),La percepción de seguridad,Nada me disgusta,Multitud de personas,Ser víctima de robo o atraco,,4,Nada Importante,Muy importante,4,Nada Importante,Nada Importante,Nada Importante,Nada Importante,Nada Importante,"Bus, colectivo, busetas",,Tiempos de viaje o espera asociados,,Los vehículos que circulan en la ciudad,Muy alto,Automóviles particulares,,Bicicleta,,Falta de información,,3,3,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.2661644,-75.6131395,1653.300049,4.816
32,7129.3996799999995,Presencial en hogares,Masculino,Si,37,35 - 44 años,No,Si,Si,Si,Antioquia,Amalfi,,,"Negro(a), mulalto(a), afrodescendiente, afrocolombiano(a)",Si,Técnico profesional,No,Está desempleado,,,,,,,,,,,,,,Con otros familiares diferentes a sus hijos o pareja,Estrato 2,Entre 300 mil y 500 mil pesos,Si,Usted,Ninguna dificultad,,No,No,0,,0,,Metro,,,,,,,,,,,,4,3,40,30,,Medellín,Comuna 13 - San Javier,Medellín,Comuna 10 - La Candelaria,,Dos,Entre 6 y 10 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,,,,,Muy satisfecho,El tiempo de viaje,,Las condiciones de incomodidad,Tiempos de viaje largos o inciertos,,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,3,3,2,3,Automóvil en plataforma (Ejemplo:Uber),,Costos asociados,,Los vehículos que circulan en la ciudad,Bajo,"Bus, colectivo, busetas",,Metro,,Costos altos,,Nada influyente,Nada influyente,Si,No,No,Si,Si,No,No,No,,En el metro,,,Avisó a alguna autoridad como la policia,,,No,Hombre,No,6.2651795,-75.6136843,1635.699951,8.331
33,3853.453645,Presencial en hogares,Femenino,Si,43,35 - 44 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Técnico profesional,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a sábado,,,,,,,,,,,,Con otros familiares diferentes a sus hijos o pareja,Estrato 2,Menos de 100 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,"Bus, colectivo, buseta",,,,,,,,,,,,5,20,20,5,,Medellín,Comuna 13 - San Javier,Medellín,Comuna 13 - San Javier,,Uno,Más de 20 km,Ir a trabajar,,,,,,,Ni satisfecho ni insatifecho,La distancia que debe recorrer,,El tiempo de espera,Multitud de personas,,,4,4,Muy importante,4,2,2,Nada Importante,4,Nada Importante,Metro,,Otra razón ¿Cuál?,Le da miedo el metro cable,Empresas manufactureras,Alto,"Bus, colectivo, busetas",,Metro,,Falta de información,,2,4,No,Si,Si,No,No,No,No,No,,En una buseta o colectivo,,,No tomó ninguna acción,,,No,Mujer,No,6.2641095,-75.6139008,1615.900024,8.404
34,3853.453645,Presencial en hogares,Femenino,Si,60,55 - 64 años,No,Si,Si,Si,Antioquia,Betania,,,No sabe/ No responde,Si,Secundaria incompleta,Si,Trabajar,Empleado(a) doméstico,Sábado,Domingo,,,,,,,,,,,"Con otras personas que no son de su familia (amigos, compañeros)",Estrato 2,Entre 300 mil y 500 mil pesos,Si,Usted,Ninguna dificultad,,No,No,0,,0,,Taxi,,,,,,,,,,,30,,,,,,Medellín,Comuna 13 - San Javier,Medellín,No sabe. ¿A dónde se dirige?,Caldas Antioquia,No salgo del hogar con frecuencia,Más de 20 km,A visitar a alguien (familiar o amigo),,,,,,,Poco Satisfecho,La percepción de seguridad,El tiempo de viaje,Otra razón,Congestión de tráfico,Ser víctima de robo o atraco,,Muy importante,3,Muy importante,Muy importante,Muy importante,4,3,2,2,"Bus, colectivo, busetas",,Otra razón ¿Cuál?,No lo veo necesario por la comodidad,Vertederos (basureros) y rellenos sanitarios,Moderado,"Bus, colectivo, busetas",,Metro,,"Falta de infraestructura (andenes, ciclorutas, etc.)",,4,Muy influyente,No,No,No,Si,Si,No,No,No,,En el metro,,,No tomó ninguna acción,,,Si,Mujer,No,6.2627156,-75.6136767,1603.5,10.423
35,7129.3996799999995,Presencial en hogares,Masculino,Si,76,65 - 80 años,No,Si,Si,Si,Antioquia,Cañargordas,,,Ninguna de las anteriores,No,Secundaria completa,No,Es pensionado(a),,,,,,,,,,,,,,Sola(o) con sus hijas o hijos,Estrato 2,Menos de 100 mil pesos,No,,Ninguna dificultad,,"Sí, motocicleta","Si, motocicleta",1,0,1,0,Metro,,,,,,,,,,,,5,2,15,15,,Medellín,Comuna 13 - San Javier,Medellín,Comuna 2 - Santa Cruz,,No salgo del hogar con frecuencia,Menos de 5 km,A realizar algún trámite personal,,,,,,,Satisfecho,La comodidad (confort),El costo (sus posibilidades económicas o capacidad adquisitiva),Nada me disgusta,Ser víctima de robo o atraco,,,4,4,Muy importante,4,Muy importante,3,2,4,Muy importante,"Bus, colectivo, busetas",,Tiempos de viaje o espera asociados,,Los vehículos que circulan en la ciudad,Bajo,Automóviles particulares,,Bicicleta,,Costos altos,,3,3,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.2614918,-75.6125082,1604.6,5.616
36,7129.3996799999995,Presencial en hogares,Masculino,Si,34,25 - 34 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria completa,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a sábado,,,,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 2,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,"Sí, auto y motocicleta",Si de auto y motocicleta,2,2,1,1,Moto 4T,,125 cc,,Gasolina corriente,,2020,Otro municipio del área metropolitana,Conductor,Siempre,2,15,,,,,,Medellín,Comuna 13 - San Javier,Medellín,Comuna 7 - Robledo,,Uno,Entre 6 y 10 km,A acompañar o llevar a alguien,Una niña o niño,,"Asistir a un centro educativo (colegio, jardín infantil)",,,,Muy satisfecho,El tiempo de viaje,,La exposición a condiciones climáticas desfavorables (lluvia o calor),Congestión de tráfico,,,Muy importante,Muy importante,Muy importante,Muy importante,4,Muy importante,2,Muy importante,Muy importante,Automóvil,,Otra razón ¿Cuál?,No lo veo necesario,Incineración de residuos,Moderado,Moto 2T particular,,Metro,,Inseguridad,,Muy influyente,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.2615314,-75.6126656,1588.2,4.975
37,3853.453645,Presencial en hogares,Femenino,Si,72,65 - 80 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Básica primaria completa,No,Hacer trabajo doméstico en su propio hogar,,,,,,,,,,,,,,Con otros familiares diferentes a sus hijos o pareja,Estrato 2,Entre 100 y 300 mil pesos,Si,Usted,Ninguna dificultad,,No,No,0,,0,,Metro,,,,,,,,,,,,15,5,15,20,,Medellín,Comuna 13 - San Javier,Medellín,No sabe. ¿A dónde se dirige?,Centro,No salgo del hogar con frecuencia,Menos de 5 km,A realizar compras,,,,,,,Muy satisfecho,La comodidad (confort),,Nada me disgusta,Ser víctima de robo o atraco,,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Taxi,,Costos asociados,,Uso de aerosoles y productos químicos,Moderado,Automóviles particulares,,Metro,,Costos altos,,Muy influyente,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.2613546,-75.6129083,1611.699951,6.516
38,4518.6336,Presencial en hogares,Masculino,Si,74,65 - 80 años,No,Si,Si,Si,Antioquia,Bello,,,Ninguna de las anteriores,Si,Básica primaria completa,Si,Trabajar,Trabajador independiente o por cuenta propia,De lunes a viernes,,,,,,,,,,,,Con su pareja,Estrato 3,Entre 300 mil y 500 mil pesos,No,,Ninguna dificultad,,"Sí, auto","Si, auto",1,1,0,,Automóvil,Entre 1000 y 1499 cc,,,Gasolina corriente,,Modelos anteriores a 2005,Otro municipio por fuera del área metropolitana,Conductor,Siempre,4,60,,,,,,Medellín,Comuna 13 - San Javier,Medellín,Comuna 13 - San Javier,,No salgo del hogar con frecuencia,Entre 6 y 10 km,Ir a trabajar,,,,,,,Muy satisfecho,La percepción de seguridad,,El tiempo de viaje,Congestión de tráfico,Ser víctima de robo o atraco,,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante,"Bus, colectivo, busetas",,Otra razón ¿Cuál?,Tengo mi carro,Uso de aerosoles y productos químicos,Moderado,"Bus, colectivo, busetas",,"Automóviles, taxis",,Inclinación del terreno,,Muy influyente,Muy influyente,No,No,No,No,Si,No,Si,No,,En un vehículo particular,,,No tomó ninguna acción,,,No,Hombre,No,6.2563512,-75.6143737,1582.099976,4.566
39,4884.65955,Presencial en hogares,Femenino,Si,48,45 - 54 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria incompleta,No,Hacer trabajo doméstico en su propio hogar,,,,,,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 3,Menos de 100 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Metro,,,,,,,,,,,,10,5,40,5,,Medellín,Comuna 13 - San Javier,Medellín,Comuna 13 - San Javier,,Dos,Entre 11 y 15 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,,,,,Muy satisfecho,El costo (sus posibilidades económicas o capacidad adquisitiva),,Las condiciones de incomodidad,Tiempos de viaje largos o inciertos,,,Muy importante,Muy importante,Muy importante,4,Muy importante,Muy importante,3,Muy importante,Muy importante,Automóvil,,Costos asociados,,Los vehículos que circulan en la ciudad,Bajo,"Bus, colectivo, busetas",,Caminata,,Inseguridad,,Nada influyente,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.2563833,-75.6160783,1556.099976,8.3
40,5561.249925,Presencial en hogares,Masculino,Si,80,65 - 80 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,No,Secundaria completa,No,Trabajar,Trabajador independiente o por cuenta propia,De lunes a sábado,,,,,,,,,,,,Sola(o),Estrato 3,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,"Bus, colectivo, buseta",,,,,,,,,,,,10,5,15,4,,Medellín,Comuna 15 - Guayabal,Medellín,Comuna 10 - La Candelaria,,No salgo del hogar con frecuencia,Menos de 5 km,Ir a trabajar,,,,,,,Satisfecho,Condiciones de salud propias o de un familiar,,El tiempo de espera,Exposición a condiciones climáticas desfavorables (lluvia o calor),Multitud de personas,,4,3,4,4,2,2,2,3,3,Taxi,,Costos asociados,,Empresas manufactureras,Alto,Automóviles particulares,,Bicicleta,,Inseguridad,,4,4,No,No,No,No,No,No,No,No,,,,,,,,Si,Mujer,No,6.1727912,-75.6093147,1588.599976,11.477
41,5561.249925,Presencial en hogares,Masculino,Si,27,25 - 34 años,No,Si,Si,Si,Antioquia,Itagüí,,,Ninguna de las anteriores,No,Universitario,No,Está desempleado,,,,,,,,,,,,,,Con sus hijos y otros familiares,Estrato 3,Menos de 100 mil pesos,No,,Ninguna dificultad,,No,No,0,,0,,Metro,,,,,,,,,,,,20,5,20,15,,Medellín,Comuna 15 - Guayabal,Medellín,No sabe. ¿A dónde se dirige?,Centro,No salgo del hogar con frecuencia,Entre 16 y 20 km,"A una cita médica, tomarse examenes o reclamar medicamentos para usted mismo",,,,,,,Satisfecho,La comodidad (confort),El costo (sus posibilidades económicas o capacidad adquisitiva),Nada me disgusta,Tiempos de espera largos o inciertos,Exposición a condiciones climáticas desfavorables (lluvia o calor),,4,4,4,4,Muy importante,Nada Importante,Nada Importante,3,3,Automóvil,,Costos asociados,,Uso de aerosoles y productos químicos,Bajo,Automóviles particulares,,Metro,,Otro,Comodidad,3,4,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.1726213,-75.6094539,1590.300049,9.002
42,3724.4504880000004,Presencial en hogares,Femenino,Si,50,45 - 54 años,No,Si,Si,Si,Antioquia,Medellín,,,Ninguna de las anteriores,Si,Secundaria completa,No,Trabajar,"Empleado en empresa, gobierno u organización",De lunes a domingo,,,,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 3,Entre 100 y 300 mil pesos,Si,Usted,Ninguna dificultad,,No,No,0,,0,,Metro,,,,,,,,,,,,15,5,30,20,,Medellín,Comuna 3 - Manrique,Medellín,Comuna 3 - Manrique,,Dos,Más de 20 km,Ir a trabajar,,,,,,,Muy satisfecho,El tiempo de viaje,,Nada me disgusta,Tiempos de espera largos o inciertos,,,Muy importante,2,4,Muy importante,Muy importante,Muy importante,Muy importante,4,Muy importante,"Bus, colectivo, busetas",,Tiempos de viaje o espera asociados,,Otro,Bajo,"Bus, colectivo, busetas",,Otro,Carros eléctricos,Condiciones climáticas,,Muy influyente,Muy influyente,No,No,No,No,No,No,No,No,,,,,,,,No,Mujer,No,6.164278,-75.6193526,1668.9,13.133
43,3377.1954089999995,Presencial en hogares,Masculino,Si,45,45 - 54 años,No,Si,Si,Si,Antioquia,Segovia,,,Ninguna de las anteriores,Si,Básica primaria incompleta,No,Está desempleado,,,,,,,,,,,,,,Con su pareja y sus hijos o hijas,Estrato 2,Entre 100 y 300 mil pesos,No,,Ninguna dificultad,,"Sí, auto y motocicleta",Si de auto y motocicleta,0,,0,,"Bus, colectivo, buseta",,,,,,,,,,,,15,8,30,20,,Medellín,Comuna 15 - Guayabal,Medellín,Comuna 3 - Manrique,,No salgo del hogar con frecuencia,Entre 11 y 15 km,A visitar a alguien (familiar o amigo),,,,,,,Satisfecho,La percepción de seguridad,El costo (sus posibilidades económicas o capacidad adquisitiva),El tiempo de viaje,Costos altos,Ser víctima de robo o atraco,,4,Muy importante,Muy importante,4,4,Muy importante,4,4,3,Metro,,Tiempos de viaje o espera asociados,,Los vehículos que circulan en la ciudad,Alto,Automóviles particulares,,Metro,,Costos altos,,4,3,No,No,No,No,No,No,No,No,,,,,,,,No,Hombre,No,6.1643735,-75.6199992,1437.8,7.55
